iata_code,airport_name,city,country_code,country_name,airport_type,coordinates
AAN,Al Ain International Airport,Al Ain,AE,United Arab Emirates,medium_airport,"24.261699676513672, 55.60919952392578"
AUH,Zayed International Airport,Abu Dhabi,AE,United Arab Emirates,large_airport,"24.443764, 54.651718"
AZI,Al Bateen Executive Airport,Abu Dhabi,AE,United Arab Emirates,medium_airport,"24.428301, 54.458099"
DHF,Al Dhafra Air Base,,AE,United Arab Emirates,medium_airport,"24.248199462900004, 54.547698974599996"
DWC,Al Maktoum International Airport,Jebel Ali,AE,United Arab Emirates,large_airport,"24.896356, 55.161389"
DXB,Dubai International Airport,Dubai,AE,United Arab Emirates,large_airport,"25.2527999878, 55.3643989563"
FJR,Fujairah International Airport,Fujairah,AE,United Arab Emirates,medium_airport,"25.1122, 56.324001"
NHD,Al Minhad Air Base,Dubai,AE,United Arab Emirates,medium_airport,"25.0268001556, 55.3661994934"
RKT,Ras Al Khaimah International Airport,Ras Al Khaimah,AE,United Arab Emirates,medium_airport,"25.613500595092773, 55.93880081176758"
SHJ,Sharjah International Airport,Sharjah,AE,United Arab Emirates,large_airport,"25.3286, 55.5172"
XSB,Sir Bani Yas Airport,Sir Bani Yas,AE,United Arab Emirates,medium_airport,"24.283611, 52.580278"
ZDY,Delma Airport,Delma Island,AE,United Arab Emirates,small_airport,"24.51, 52.3352"
BIN,Bamyan Airport,Bamyan,AF,Afghanistan,small_airport,"34.808916, 67.816629"
BST,Bost Airport,Lashkar Gah,AF,Afghanistan,small_airport,"31.5597, 64.364998"
CCN,Chaghcharan Airport,Chaghcharan,AF,Afghanistan,small_airport,"34.526465, 65.27102"
DAZ,Darwaz Airport,Darwaz,AF,Afghanistan,small_airport,"38.461798, 70.881606"
DWR,Dwyer Airport,Reg,AF,Afghanistan,small_airport,"31.091265, 64.066053"
FAH,Farah Airport,Farah,AF,Afghanistan,small_airport,"32.366667, 62.165347"
FBD,Fayzabad Airport,Fayzabad,AF,Afghanistan,small_airport,"37.122148, 70.5201"
GRG,Gardez Airport,Gardez,AF,Afghanistan,small_airport,"33.627366, 69.237023"
GZI,Ghazni Airport,Ghazni,AF,Afghanistan,small_airport,"33.487853, 68.525243"
HEA,Herat - Khwaja Abdullah Ansari International Airport,Guzara,AF,Afghanistan,medium_airport,"34.209999, 62.228298"
JAA,Jalalabad Airport,Jalalabad,AF,Afghanistan,medium_airport,"34.399799, 70.498596"
KBL,Kabul International Airport,Kabul,AF,Afghanistan,medium_airport,"34.565899, 69.212303"
KDH,Ahmad Shah Baba International Airport / Kandahar Airfield,Khvoshab,AF,Afghanistan,medium_airport,"31.5058, 65.847801"
KHT,Khost International Airport,Khost,AF,Afghanistan,medium_airport,"33.284605, 69.80734"
KUR,Razer Airport,Skazar,AF,Afghanistan,small_airport,"36.029893, 70.714159"
KWH,Khwahan Airport,Khwahan,AF,Afghanistan,small_airport,"37.890021, 70.20383"
LQN,Qala-i-Naw Airport,Qala-i-Naw,AF,Afghanistan,small_airport,"34.985472, 63.117404"
MMZ,Maymana Zahiraddin Faryabi Airport,Maymana,AF,Afghanistan,medium_airport,"35.930801, 64.760902"
MZR,Mazar-i-Sharif International Airport,Mazar-i-Sharif,AF,Afghanistan,medium_airport,"36.706902, 67.209702"
OAA,Shank Air Base,Baraki Barak,AF,Afghanistan,small_airport,"33.922217, 69.07794"
OAH,Shindand Air Base,Shindand,AF,Afghanistan,small_airport,"33.3913, 62.261002"
OAI,Bagram Airfield,Bagram,AF,Afghanistan,medium_airport,"34.946098, 69.264999"
OAS,Sharana Airstrip,Sharana,AF,Afghanistan,small_airport,"33.12575, 68.838517"
OAZ,Camp Shorabak Airfield,Lashkar Gah,AF,Afghanistan,small_airport,"31.848735, 64.223175"
OLR,Salerno Airport,Khost,AF,Afghanistan,small_airport,"33.3638, 69.9561"
SBF,Sardeh Band Airport,Sardeh Band,AF,Afghanistan,small_airport,"33.3207015991, 68.6364974976"
SGA,Sheghnan Airport,Shiveh,AF,Afghanistan,small_airport,"37.497642, 71.508484"
TII,Tarinkot Airport,Tarinkot,AF,Afghanistan,small_airport,"32.604198, 65.865799"
TQN,Taleqan Airport,Taleqan,AF,Afghanistan,small_airport,"36.770699, 69.531998"
UND,Kunduz Airport,Kunduz,AF,Afghanistan,medium_airport,"36.6651, 68.910797"
URN,Urgun Airport,Urgun,AF,Afghanistan,small_airport,"32.939933, 69.150064"
URZ,Orūzgān Airport,Orūzgān,AF,Afghanistan,small_airport,"32.9029998779, 66.630897522"
ZAJ,Zaranj Airport,Zaranj,AF,Afghanistan,small_airport,"30.972222, 61.865833"
ANU,V C Bird International Airport,Osbourn,AG,Antigua and Barbuda,medium_airport,"17.1367, -61.792702"
BBQ,Codrington Airport,Codrington,AG,Antigua and Barbuda,medium_airport,"17.635799, -61.828602"
AXA,Clayton J Lloyd International Airport,The Valley,AI,AI,medium_airport,"18.204773, -63.05383"
KFZ,Kukës International Airport,Kukës,AL,Albania,medium_airport,"42.035802, 20.415955"
TIA,Tirana International Airport Mother Teresa,Rinas,AL,Albania,large_airport,"41.4147, 19.7206"
EVN,Zvartnots International Airport,Yerevan,AM,Armenia,large_airport,"40.1473007202, 44.3959007263"
LWN,Shirak International Airport,Gyumri,AM,Armenia,medium_airport,"40.750401, 43.859299"
ANL,Andulo Airport,Andulo,AO,Angola,small_airport,"-11.4723, 16.710899"
ARZ,N'zeto Airport,N'zeto,AO,Angola,small_airport,"-7.259277, 12.862355"
AZZ,Ambriz Airport,Ambriz,AO,Angola,small_airport,"-7.86222, 13.1161"
BUG,Benguela 17th of September Airport,Benguela,AO,Angola,medium_airport,"-12.609, 13.4037"
CAB,Cabinda Airport,Cabinda,AO,Angola,medium_airport,"-5.59699010848999, 12.188400268554688"
CAV,Cazombo Airport,Cazombo,AO,Angola,small_airport,"-11.8931, 22.916239"
CBT,Catumbela Airport,Catumbela,AO,Angola,medium_airport,"-12.4792, 13.4869"
CEO,Waco Kungo Airport,Waco Kungo,AO,Angola,small_airport,"-11.4264, 15.1014"
CFF,Cafunfo Airport,Cafunfo,AO,Angola,small_airport,"-8.78361, 17.9897"
CNZ,Cangamba Airport,Cangamba,AO,Angola,small_airport,"-13.7106, 19.861099"
CTI,Cuito Cuanavale Airport,Cuito Cuanavale,AO,Angola,small_airport,"-15.1603, 19.156099"
CTV,Catoca Airport,Saurimo,AO,Angola,small_airport,"-9.431359, 20.311557"
CXM,Camaxilo Airport,Camaxilo,AO,Angola,small_airport,"-8.37361, 18.923599"
DRC,Dirico Airport,Dirico,AO,Angola,small_airport,"-17.981924, 20.768061"
DUE,Dundo Airport,Chitato,AO,Angola,medium_airport,"-7.400889873504639, 20.818500518798828"
GGC,Lumbala Airport,Lumbala N'guimbo,AO,Angola,small_airport,"-14.105106, 21.45083"
GXG,Negage Airport,Negage,AO,Angola,medium_airport,"-7.754509925842285, 15.287699699401855"
JMB,Jamba Airport,Jamba,AO,Angola,small_airport,"-14.698193, 16.070148"
KNP,Capanda Airport,Capanda,AO,Angola,small_airport,"-9.76937007904, 15.4553194046"
LAD,Quatro de Fevereiro International Airport,Luanda,AO,Angola,large_airport,"-8.85837, 13.2312"
LBZ,Lucapa Airport,Lucapa,AO,Angola,small_airport,"-8.445727348330001, 20.7320861816"
LLT,Lobito Airport,Lobito,AO,Angola,small_airport,"-12.3712, 13.5366"
LUO,Luena Airport,Luena,AO,Angola,medium_airport,"-11.7681, 19.897699"
LZM,Luzamba Airport,Luzamba,AO,Angola,small_airport,"-9.11596012115, 18.049299240099998"
MEG,Malanje Airport,Malanje,AO,Angola,medium_airport,"-9.525090217590332, 16.312400817871094"
MSZ,Welwitschia Mirabilis International Airport,Moçâmedes,AO,Angola,medium_airport,"-15.2612, 12.1468"
NBJ,Dr. Antonio Agostinho Neto International Airport,Luanda (Ícolo e Bengo),AO,Angola,medium_airport,"-9.050734, 13.499078"
NDD,Sumbe Airport,Sumbe,AO,Angola,medium_airport,"-11.1679, 13.8475"
NDF,N'dalatando Airport,N'dalatando,AO,Angola,small_airport,"-9.280378, 14.982432"
NOV,Nova Lisboa Airport,Huambo,AO,Angola,medium_airport,"-12.808899879455566, 15.760499954223633"
NZA,Nzagi Airport,Nzagi,AO,Angola,small_airport,"-7.716939926149999, 21.358200073200003"
PBN,Porto Amboim Airport,Port Amboim,AO,Angola,medium_airport,"-10.722, 13.7655"
PGI,Chitato Airport,Chitato,AO,Angola,small_airport,"-7.35889, 20.804701"
SDD,Lubango Airport,Lubango,AO,Angola,medium_airport,"-14.924699783325195, 13.574999809265137"
SPP,Menongue Airport,Menongue,AO,Angola,medium_airport,"-14.657600402832031, 17.71980094909668"
SSY,Mbanza Congo Airport,Mbanza Congo,AO,Angola,medium_airport,"-6.269899845123291, 14.246999740600586"
