Airline Name,Ticker,Exchange,Country
Aegean Airlines,AEGN,Athens Stock Exchange (ATHEX),Greece
Air Arabia,AIRARABIA,Dubai Financial Market (DFM),United Arab Emirates
Air China,601111,Shanghai Stock Exchange (SSE),China
Air France-KLM,AF,Euronext Paris,France
Air New Zealand,AIR,New Zealand Exchange (NZX),New Zealand
Alaska Air Group,ALK,New York Stock Exchange (NYSE),United States
Allegiant Travel Company,ALGT,NASDAQ,United States
American Airlines Group,AAL,NASDAQ,United States
ANA Holdings,9202,Tokyo Stock Exchange (TSE),Japan
Asiana Airlines,020560,Korea Exchange (KRX),South Korea
Avianca Group International,AVHH,New York Stock Exchange (NYSE),Colombia
Azul Brazilian Airlines,AZUL,New York Stock Exchange (NYSE),Brazil
Bangkok Airways,BA,Stock Exchange of Thailand (SET),Thailand
Cathay Pacific Airways,0293,Hong Kong Stock Exchange (HKEx),Hong Kong
Cebu Air (Cebu Pacific),CEB,Philippine Stock Exchange (PSE),Philippines
China Eastern Airlines,600115,Shanghai Stock Exchange (SSE),China
China Southern Airlines,600029,Shanghai Stock Exchange (SSE),China
Copa Holdings,CPA,New York Stock Exchange (NYSE),Panama
Delta Air Lines,DAL,New York Stock Exchange (NYSE),United States
easyJet,EZJ,London Stock Exchange (LSE),United Kingdom
El Al Israel Airlines,ELAL,Tel Aviv Stock Exchange (TASE),Israel
Finnair,FIA1S,Nasdaq Helsinki,Finland
Frontier Group Holdings,ULCC,NASDAQ,United States
GOL Linhas Aereas,GOLL3,B3 (Bovespa),Brazil
Hawaiian Holdings,HA,NASDAQ,United States
Hainan Airlines,600221,Shanghai Stock Exchange (SSE),China
International Consolidated Airlines Group (IAG),IAG,London Stock Exchange (LSE),United Kingdom
InterGlobe Aviation (IndiGo),INDIGO,National Stock Exchange of India (NSE),India
Japan Airlines,9201,Tokyo Stock Exchange (TSE),Japan
JetBlue Airways,JBLU,NASDAQ,United States
Jeju Air,089590,Korea Exchange (KRX),South Korea
Jin Air,180640,Korea Exchange (KRX),South Korea
Korean Air Lines,003490,Korea Exchange (KRX),South Korea
LATAM Airlines Group,LTM,Santiago Stock Exchange (BCS),Chile
Lufthansa Group,LHA,Frankfurt Stock Exchange (FSE),Germany
Mesa Air Group,MESA,NASDAQ,United States
Norwegian Air Shuttle,NAS,Oslo Stock Exchange (OSE),Norway
Qantas Airways,QAN,Australian Securities Exchange (ASX),Australia
Ryanair Holdings,RYAAY,NASDAQ,United States
SAS (Scandinavian Airlines),SAS,Nasdaq Stockholm,Sweden
Singapore Airlines,C6L,Singapore Exchange (SGX),Singapore
SkyWest,SKYW,NASDAQ,United States
Southwest Airlines,LUV,New York Stock Exchange (NYSE),United States
SpiceJet,SPICEJET,National Stock Exchange of India (NSE),India
Sun Country Airlines,SNCY,NASDAQ,United States
Thai Airways International,THAI,Stock Exchange of Thailand (SET),Thailand
Turkish Airlines,THYAO,Borsa Istanbul (BIST),Turkey
United Airlines Holdings,UAL,NASDAQ,United States
Vietjet Aviation,VJC,Ho Chi Minh Stock Exchange (HOSE),Vietnam
Vietnam Airlines,HVN,Ho Chi Minh Stock Exchange (HOSE),Vietnam
Controladora Vuela (Volaris),VLRS,New York Stock Exchange (NYSE),Mexico
Wizz Air Holdings,WIZZ,London Stock Exchange (LSE),United Kingdom
